,NPPz DJF,NPPz MAM,NPPz JJA,NPPz SON
HIST_1986,19.99737378555491,60.83501216922449,33.29307410559904,13.157839560816663
HIST_1987,16.204600983235622,59.12899635517429,31.24365487640269,13.803804629575334
HIST_1988,23.72363479550255,55.3977925112595,30.81832759815143,13.528697724649712
HIST_1989,26.0637779730891,50.234636922072205,31.3963273097564,15.317364835378735
HIST_1990,26.85933685212902,60.53107809327995,32.54375968598001,14.002320762031092
HIST_1991,22.468269703356725,56.018849218280906,30.589590334269342,12.58300986616254
HIST_1992,27.362827814992375,57.97837531779032,32.04216206752873,14.398244538734856
HIST_1993,25.551293034173145,55.479873140731456,29.743516560735305,12.270136191351
HIST_1994,24.237498072820973,62.33531485442641,32.44449954956734,14.75976888978447
HIST_1995,19.725182671003584,63.247702816156334,33.79263471420826,15.135524918039103
HIST_1996,26.54653770279363,72.15919663281029,33.14620448441257,15.09732514979023
HIST_1997,19.958401671391016,62.84875056060003,32.39781702571227,12.261219793771856
HIST_1998,18.48989944512275,58.66924270306034,29.854111106900547,15.919856783156227
HIST_1999,29.084277541620565,59.4419784881588,30.823442742080005,11.634583325195186
HIST_2000,24.67838870008568,50.31613576139736,29.243579967378594,12.541145835873442
HIST_2001,26.199047474866855,59.02643439328338,28.294005555286606,13.80845133611542
HIST_2002,24.841402552828185,52.83483125483479,30.129674083634782,12.242894714161258
HIST_2003,24.64265212763333,48.96452727429474,29.531749146049947,14.592742962045273
HIST_2004,24.542121868462534,59.04052540201622,30.818111546080036,14.531346654309859
HIST_2005,21.091293106998506,60.48852319075138,29.668099678283472,11.633772222583746
