,NPPz DJF,NPPz MAM,NPPz JJA,NPPz SON
RCP85_2006,22.138632826901766,56.91130055647748,28.67180106362598,14.460465741297059
RCP85_2007,19.387379261005716,61.381271120910675,35.39617446764172,14.91897453891992
RCP85_2008,16.641643477212813,66.39637934872873,32.565086809096364,14.440427166513524
RCP85_2009,26.8690600293021,55.772694115599826,29.84434110855867,12.499414951423006
RCP85_2010,19.878846036059457,61.63934495283477,33.42877740943734,12.430030812440279
RCP85_2011,20.518375632392033,68.83165391047991,29.836663912669696,16.202893659682676
RCP85_2012,28.784414467574283,70.49733765797735,32.4874617829606,13.081878340898884
RCP85_2013,27.746166443538726,60.620083776945215,31.1161966554056,12.769876431248143
RCP85_2014,19.947004497050013,69.09895540011475,32.0556896134799,15.219441055064996
RCP85_2015,20.263090482436123,57.75842070934718,34.63064737147503,16.842889896730025
RCP85_2016,25.999078326721417,63.58397109253457,32.834652375119155,12.856468156067344
RCP85_2017,23.54865856750307,71.62785720741297,32.92071815749438,17.788656662993528
RCP85_2018,27.213728710400307,63.00597992801426,33.58452014336385,13.886699234007983
RCP85_2019,27.66171095752301,52.31202793270172,29.685395133690978,13.771304877223104
RCP85_2020,24.90346131222762,54.345255074473606,30.24755125982883,14.499753063397783
RCP85_2021,27.702571619047635,59.367053375684584,28.300685875844366,15.207156938624573
RCP85_2022,31.790737316817385,63.3541677408078,31.324759631856633,14.183000575991665
RCP85_2023,28.68340037117008,61.63051794722221,30.49380787789524,13.262508525255413
RCP85_2024,22.443390490021006,63.775223873990825,31.29288818707622,13.245567791775557
RCP85_2025,20.67870494101273,56.38590371365424,35.411146361245905,14.879638292695736
RCP85_2026,20.5485473066245,57.372872301398694,29.69086300394102,14.223936016110956
RCP85_2027,31.147254830712978,61.9163290634905,30.464504359754173,11.539336080666253
RCP85_2028,26.83515721458779,55.57193845141601,30.381496507817598,12.013673726647616
RCP85_2029,28.112780955706967,52.74162679271219,31.25933253631939,15.836375932440362
RCP85_2030,31.141180435122966,55.54359608364186,29.722712213675706,12.408318403094583
RCP85_2031,32.58055926125899,65.39771134646514,30.971311041367745,12.692094615318071
RCP85_2032,18.146881984217963,66.78402076094558,32.969027568892386,12.604058021930028
RCP85_2033,19.558003431351544,51.36861911634441,31.281669152856733,11.86435381793144
RCP85_2034,20.313734627870534,55.92486564358015,29.439476198288617,11.538447213865942
RCP85_2035,26.110428826992777,57.4895675129681,30.868010750971383,13.558404802996352
