,NPP_ANNUAL,PoTemp_AnnSea,PoDens_AnnSea,Salinity_AnnSea,upVelo_AnnSea,VEddyDiff_AnnSea,ZonCur_AnnSea,ZonWindStr_AnnSea,MerCur_AnnSea,MerWindStr_AnnSea,SST_AnnSea,TotalHeat_AnnSea,Shortwave_AnnSea,NetUpwardWaterFlux_AnnSea,SeaSurfaceThermostericHeight_AnnSea,SeaSurfaceStericHeight_AnnSea,SSH_AnnSea,SSS_AnnSea,SurfaceSaltFlux_AnnSea,MLD_AnnSea,NetSurfaceHeatFlux_AnnSea,BaroclinicDynamicHeight_AnnSea,SurfacePressure_AnnSea,StratIndex_AnnSea
LABEL,Annual net primary production (gC $\text{year}^{-1}$),Annual potential temperature (K),Annual potential density (kg/m$^3$),Annual salinity (psu),Annual upward velocity (m/s),Annual vertical eddy diffusivity ($m2/s$),Annual zonal current (m/s),Annual zonal wind stress (N/m$^2$),Annual meridional current (m/s),Annual meridional wind stress (N/m$^2$),Annual sea surface temperature (K),Annual net downward total heat flux (W/m$^2$),Annual net downward shortwave flux (W/m$^2$),Annual net upward water flux (mm/s),Annual sea surface thermosteric height (m),Annual sea surface steric height (m),Annual sea surface height (m),Annual sea surface salinity (psu),Annual surface salt flux (Kg/m2/s),Annual mixed layer depth (m),Annual >net surface heat flux (W/m$^2$),Annual baroclinic dynamical height (m),Annual surface pressure (Pa),Annual stratification index (s$^{-1}$)
UNIT,g / yr,K,kg / m^3,,m/s,m^2 / s,m/s,N / m^2,m/s,N / m^2,K,W / m^2,W / m^2,mm/s,m,m,m,,kg/m^2/s,m,W / m^2,m,Pa,s^-1
HIST_1986,31.82082490529877,285.64217280801233,1029.0677273573554,38.33517166036167,7.206407430962879e-07,0.6566199954127631,0.003841401129189789,0.053602815651140445,0.0021064646539621897,-0.05364955520912529,290.26924423933855,-15.94843401652691,173.68435207162992,3.0953697889198776e-05,-37.360479949661304,-0.07307455876523529,-0.12115654576255522,38.00365042403814,0.0011762288603808513,68.6090313288405,-18.162649710722558,-36.31293445674068,394.1400840925138,1.3054364664441525
HIST_1987,30.095264211096985,285.68291441586666,1029.0601318068561,38.333525802474384,-9.250365802435722e-08,0.4677462894809556,0.0023323367279026916,0.07510437249491506,0.0020884515309197637,-0.0625823261663348,290.04837060690585,-25.54815163221019,170.21878956205023,2.8117370064153924e-05,-37.35229838707147,-0.04496351119005145,-0.1010328431149263,37.86317296736739,0.0010642348317268305,50.14984983992238,-27.533550216194143,-36.29405529052604,257.7648661361735,1.5250038951403466
HIST_1988,30.8671131573908,285.6125708455295,1029.0568419071092,38.32156528822663,-2.3425288874923183e-08,0.3513001257263369,0.0007124040817109206,0.055899618589100655,0.002149979821645301,-0.049044988799334305,290.265022940533,-9.520007395996046,170.20036040180267,2.9593164691936317e-05,-37.3303749629744,-0.019271023856563093,-0.09613202661533214,37.698196076151135,0.001116199675714411,37.40546253292213,-11.615783967834663,-36.27064197719716,319.2927479952157,1.7791559446137124
HIST_1989,30.75302676007411,285.65098866184866,1029.053023751844,38.32373507087108,7.745566722992827e-07,0.34459006072835024,0.0015348957983808962,0.01716133134326673,0.0024577539443707535,-0.06514636586027917,290.1978501217048,-24.344831015359336,167.6818112017786,2.3727066533209367e-05,-37.32252367852482,-0.05594728796143583,-0.12147046172965385,37.67667412408825,0.000895017496277117,34.957989619956706,-25.952258174399713,-36.26125322588231,666.8564131478477,1.8523737873833472
HIST_1990,33.48412384835502,285.55426361494676,1029.061843519686,38.32041929433607,4.962878795575444e-07,0.37095283299000165,0.0007183325380238075,0.04460546590833778,0.0025760433650281788,-0.05149547060610067,290.052288135391,-2.2087207802247555,176.6858252929248,3.0973337707765496e-05,-37.323422907768816,-0.06002816727206078,-0.11883292841740922,37.82678205651476,0.0011718550583707074,40.63392142750962,-4.438004349693703,-36.27775554611139,551.9908863682092,1.676566515320825
HIST_1991,30.41492978051738,285.6632431752829,1029.0555964036512,38.332648906598145,1.367046630112753e-06,0.30425538976190275,-0.0002906724956161691,0.04000398463310321,0.0023866760756606122,-0.0421681699267445,290.3900035597229,-1.8664753222267283,167.33621699391446,2.0880605608492425e-05,-37.3060663302548,-0.03194718369313856,-0.09899392819780996,37.815723665716355,0.0007905056139525642,34.943514819834235,-3.4460632563374425,-36.26778073294888,184.03916551197227,1.7733713980485872
HIST_1992,32.94540243476157,285.76943685742424,1029.0502231106468,38.34457462718726,-2.373046935032579e-07,0.3764823139917451,0.0048591011528896656,0.0619696216953839,0.0039574632270612895,-0.048276253231926566,290.026532478576,-22.304955860619962,169.05774217419867,3.1729089732679526e-05,-37.29790067942558,-0.02646720994932748,-0.09478591897942269,37.86434354986167,0.0012014917132911517,40.02653255161876,-24.486919331609915,-36.26368652827561,292.75843721192655,1.7852646948582804
HIST_1993,30.761204731747725,285.70208159118164,1029.0514652061731,38.33544225149349,-1.5495501902246643e-08,0.49314584460211236,0.0014977615844049097,0.0678162965178708,0.0024515505614526828,-0.050516461635099624,290.36789077313034,-27.49163403013637,173.73038609553117,3.428010521086028e-05,-37.29265854056331,-0.009340445125703405,-0.08235448861346562,37.85143360225513,0.0012979678411424273,49.961715968670426,-29.989444367464774,-36.25590256665616,357.7997379060098,1.836399493891777
