,NPP_ANNUAL,PoTemp_DJF,PoTemp_MAM,PoTemp_JJA,PoTemp_SON,PoDens_DJF,PoDens_MAM,PoDens_JJA,PoDens_SON,Salinity_DJF,Salinity_MAM,Salinity_JJA,Salinity_SON,upVelo_DJF,upVelo_MAM,upVelo_JJA,upVelo_SON,VEddyDiff_DJF,VEddyDiff_MAM,VEddyDiff_JJA,VEddyDiff_SON,ZonCur_DJF,ZonCur_MAM,ZonCur_JJA,ZonCur_SON,ZonWindStr_DJF,ZonWindStr_MAM,ZonWindStr_JJA,ZonWindStr_SON,MerCur_DJF,MerCur_MAM,MerCur_JJA,MerCur_SON,MerWindStr_DJF,MerWindStr_MAM,MerWindStr_JJA,MerWindStr_SON,SST_DJF,SST_MAM,SST_JJA,SST_SON,TotalHeat_DJF,TotalHeat_MAM,TotalHeat_JJA,TotalHeat_SON,Shortwave_DJF,Shortwave_MAM,Shortwave_JJA,Shortwave_SON,NetUpwardWaterFlux_DJF,NetUpwardWaterFlux_MAM,NetUpwardWaterFlux_JJA,NetUpwardWaterFlux_SON,SeaSurfaceThermostericHeight_DJF,SeaSurfaceThermostericHeight_MAM,SeaSurfaceThermostericHeight_JJA,SeaSurfaceThermostericHeight_SON,SeaSurfaceStericHeight_DJF,SeaSurfaceStericHeight_MAM,SeaSurfaceStericHeight_JJA,SeaSurfaceStericHeight_SON,SSH_DJF,SSH_MAM,SSH_JJA,SSH_SON,SSS_DJF,SSS_MAM,SSS_JJA,SSS_SON,SurfaceSaltFlux_DJF,SurfaceSaltFlux_MAM,SurfaceSaltFlux_JJA,SurfaceSaltFlux_SON,MLD_DJF,MLD_MAM,MLD_JJA,MLD_SON,NetSurfaceHeatFlux_DJF,NetSurfaceHeatFlux_MAM,NetSurfaceHeatFlux_JJA,NetSurfaceHeatFlux_SON,BaroclinicDynamicHeight_DJF,BaroclinicDynamicHeight_MAM,BaroclinicDynamicHeight_JJA,BaroclinicDynamicHeight_SON,SurfacePressure_DJF,SurfacePressure_MAM,SurfacePressure_JJA,SurfacePressure_SON,StratIndex_DJF,StratIndex_MAM,StratIndex_JJA,StratIndex_SON
LABEL,Annual net primary production (gC $\text{year}^{-1}$),Potential temperature in winter (K),Potential temperature in spring (K),Potential temperature in summer (K),Potential temperature in autumn (K),Potential density in winter (kg/m$^3$),Potential density in spring (kg/m$^3$),Potential density in summer (kg/m$^3$),Potential density in autumn (kg/m$^3$),Salinity in winter (psu),Salinity in spring (psu),Salinity in summer (psu),Salinity in autumn (psu),Upward velocity in winter (m/s),Upward velocity in spring (m/s),Upward velocity in summer (m/s),Upward velocity in autumn (m/s),Vertical eddy diffusivity in winter ($m2/s$),Vertical eddy diffusivity in spring ($m2/s$),Vertical eddy diffusivity in summer ($m2/s$),Vertical eddy diffusivity in autumn ($m2/s$),Zonal current in winter (m/s),Zonal current in spring (m/s),Zonal current in summer (m/s),Zonal current in autumn (m/s),Zonal wind stress in winter (N/m$^2$),Zonal wind stress in spring (N/m$^2$),Zonal wind stress in summer (N/m$^2$),Zonal wind stress in autumn (N/m$^2$),Meridional current in winter (m/s),Meridional current in spring (m/s),Meridional current in summer (m/s),Meridional current in autumn (m/s),Meridional wind stress in winter (N/m$^2$),Meridional wind stress in spring (N/m$^2$),Meridional wind stress in summer (N/m$^2$),Meridional wind stress in autumn (N/m$^2$),Sea surface temperature in winter (K),Sea surface temperature in spring (K),Sea surface temperature in summer (K),Sea surface temperature in autumn (K),Net downward total heat flux in winter (W/m$^2$),Net downward total heat flux in spring (W/m$^2$),Net downward total heat flux in summer (W/m$^2$),Net downward total heat flux in autumn (W/m$^2$),Net downward shortwave flux in winter (W/m$^2$),Net downward shortwave flux in spring (W/m$^2$),Net downward shortwave flux in summer (W/m$^2$),Net downward shortwave flux in autumn (W/m$^2$),Net upward water flux in winter (mm/s),Net upward water flux in spring (mm/s),Net upward water flux in summer (mm/s),Net upward water flux in autumn (mm/s),Sea surface thermosteric height in winter (m),Sea surface thermosteric height in spring (m),Sea surface thermosteric height in summer (m),Sea surface thermosteric height in autumn (m),Sea surface steric height in winter (m),Sea surface steric height in spring (m),Sea surface steric height in summer (m),Sea surface steric height in autumn (m),Sea surface height in winter (m),Sea surface height in spring (m),Sea surface height in summer (m),Sea surface height in autumn (m),Sea surface salinity in winter (psu),Sea surface salinity in spring (psu),Sea surface salinity in summer (psu),Sea surface salinity in autumn (psu),surface salt flux in winter (Kg/m2/s),surface salt flux in spring (Kg/m2/s),surface salt flux in summer (Kg/m2/s),surface salt flux in autumn (Kg/m2/s),Mixed layer depth in winter (m),Mixed layer depth in spring (m),Mixed layer depth in summer (m),Mixed layer depth in autumn (m),>Net surface heat flux in winter (W/m$^2$),>Net surface heat flux in spring (W/m$^2$),>Net surface heat flux in summer (W/m$^2$),>Net surface heat flux in autumn (W/m$^2$),Baroclinic dynamical height in winter (m),Baroclinic dynamical height in spring (m),Baroclinic dynamical height in summer (m),Baroclinic dynamical height in autumn (m),Surface pressure in winter (Pa),Surface pressure in spring (Pa),Surface pressure in summer (Pa),Surface pressure in autumn (Pa),Stratification index in winter (s$^{-1}$),Stratification index in spring (s$^{-1}$),Stratification index in summer (s$^{-1}$),Stratification index in autumn (s$^{-1}$)
UNIT,g / yr,K,K,K,K,kg / m^3,kg / m^3,kg / m^3,kg / m^3,,,,,m/s,m/s,m/s,m/s,m^2 / s,m^2 / s,m^2 / s,m^2 / s,m/s,m/s,m/s,m/s,N / m^2,N / m^2,N / m^2,N / m^2,m/s,m/s,m/s,m/s,N / m^2,N / m^2,N / m^2,N / m^2,K,K,K,K,W / m^2,W / m^2,W / m^2,W / m^2,W / m^2,W / m^2,W / m^2,W / m^2,mm/s,mm/s,mm/s,mm/s,m,m,m,m,m,m,m,m,m,m,m,m,,,,,kg/m^2/s,kg/m^2/s,kg/m^2/s,kg/m^2/s,m,m,m,m,W / m^2,W / m^2,W / m^2,W / m^2,m,m,m,m,Pa,Pa,Pa,Pa,s^-1,s^-1,s^-1,s^-1
HIST_1986,31.82082490529877,285.6745918480926,285.53896174934886,285.6992133329106,285.65592430169727,1029.0760179360009,1029.0858370824194,1029.0559514411432,1029.0531029698575,38.346130782656765,38.33390876532172,38.33463868508182,38.32600840838636,1.7538077370684511e-06,6.293960296636873e-07,-2.6047713401782294e-07,7.598363396708358e-07,1.9088180310848064,0.4436079942186184,0.0331156030987671,0.2409383532488605,0.003407810789423,0.0024294722264187,0.0049265067173553,0.004601814783562,0.099044532086791,0.0521272736380513,0.0432820668058764,0.0199573900738429,0.0028244675118782,0.000468313976495,0.0030684342346011,0.0020646428928742,-0.0774507274497117,-0.0529668852684658,-0.0454570195226993,-0.0387235885956241,286.09522491081356,287.9728224240969,294.73085738268503,292.2780722397586,-167.02816612080463,71.36203292529963,110.11971164286044,-78.24731451346308,77.96919235834216,209.75459133709407,273.0950894834795,133.918535107604,3.316264680211491e-05,1.2337846266133949e-05,3.815869337295063e-05,4.015560511559562e-05,-37.39310364649786,-37.39750624615086,-37.33211706866129,-37.3191928373352,-0.1266679104003278,-0.1357855063555767,-0.0347230904222142,0.0048782721171775,-0.1405732797966887,-0.1485749463644175,-0.1106452005910973,-0.0848327562980171,38.05281684906148,38.11511944515446,37.94952064331126,37.897144758625366,0.0012626179774028,0.0004711725558931,0.0014486430898329,0.0015224818183944,167.06067687029866,72.78558091975789,9.55071092221628,25.0391566030892,-168.77408439928993,70.71091095053083,106.78381779442172,-81.37124318855284,-36.35038091062597,-36.35904301234786,-36.27957853006148,-36.26273537392738,-2.6373082878186493,229.1738005848256,597.2444481258779,752.7793959471703,0.9098116859993618,0.8124137346351187,1.6482488253290573,1.851271619813072
HIST_1987,30.095264211096985,285.65254731794533,285.70063500257294,285.69520508572697,285.68327025722147,1029.0694428959594,1029.071916588316,1029.0508241657794,1029.0483435773697,38.33560683668533,38.34557115613084,38.32885255965442,38.32407265742693,-6.275082971493539e-07,1.620966071107617e-06,-1.2426023586122564e-06,-1.2087004744343557e-07,1.2376457331827326,0.2969577188438593,0.049020308285353,0.2873613976118774,0.0020244035661463,0.0008949222375191,0.0042968903825271,0.0021131307254181,0.1081994477384796,0.0740560098619167,0.0469240907186975,0.0712379416605663,0.0003917115990934,0.001119503557822,0.0028940122640806,0.0039485787026828,-0.1157724296131745,-0.0677192516515655,-0.0431415326016989,-0.0236960907989,287.1420143231214,287.2302917624053,293.96182230984755,291.8593540322491,-187.59215279265047,51.90610406917244,116.75614755692368,-83.26270536228635,78.52041011475511,203.8605698087181,273.77921808453146,124.71496024019616,3.138316945040422e-05,1.43375809387757e-05,3.5624182117786024e-05,3.112454774964975e-05,-37.374877744512624,-37.39172446428511,-37.32411205429341,-37.31847928519475,-0.0792781429995802,-0.1045151833876763,-0.0257322749371022,0.0296715565641529,-0.1059644937410572,-0.1232100930014065,-0.1057286023650513,-0.06922818335219,37.97318681408645,37.95883417503521,37.80426586525176,37.71640501509614,0.0011909479899348,0.000544915307345,0.0013467124505135,0.0011743635791138,113.5845414387314,46.58884325692159,11.068872863283724,29.3571418007528,-189.4493438963649,51.06997853165317,113.71237443564816,-85.46720993571303,-36.32072020441944,-36.341825118056825,-36.262584376981415,-36.25109146264649,576.4599943458669,-215.41227882543143,618.1614483237985,51.85030070046008,1.250814165919845,1.005771753346307,1.8518108313210344,1.9916188299741997
HIST_1988,30.8671131573908,285.56411456761117,285.6003043971719,285.6170000333567,285.66886438397813,1029.0668293361678,1029.0692988221251,1029.048748347856,1029.0424911222872,38.32006411767072,38.327962447253306,38.318385237267776,38.31984935071471,1.1573067745782593e-07,-2.7254572861452696e-07,6.4493788949938785e-09,5.666451676201441e-08,0.7199851116247542,0.314823547540993,0.0173231862171637,0.3530686575224364,0.0008792212435129,0.000483637968215,0.0001963384232888,0.0012904186918268,0.1016569392599727,0.0472026353865294,0.0150474847671128,0.0596914149427875,0.0026346186287932,0.0013077538041872,0.0021300941230007,0.0025274527305999,-0.0069422454026187,-0.0717157201817229,-0.0321668127800642,-0.0853551768329313,286.8965089677376,287.06829429035974,295.0306216152815,292.0646668887531,-91.69982749828276,40.82466897644678,133.83863392685996,-121.04350498900814,80.92072648628121,215.38310100410936,256.111994857895,128.38561925892512,2.3416630715597047e-05,2.956912199997888e-05,1.6959989433419312e-05,4.842691661875004e-05,-37.36376437670149,-37.367811036430695,-37.30114533000709,-37.28877910875833,-0.0198010213270881,-0.0939170635233563,-0.0017435268109992,0.0383775162351913,-0.0673820903060926,-0.1369992494197299,-0.1040549725132178,-0.0760917942222882,37.718595897527386,37.79495628846511,37.617060296946704,37.66217182166535,0.0008831535176042,0.0011178380581145,0.000639613424839,0.0018241937022997,67.45299497142402,41.41672273486972,8.12660311573795,32.625529309656834,-93.02460242147404,39.158834978130194,132.18064349760002,-124.7780119255948,-36.30028291753414,-36.31199325594692,-36.244044777978736,-36.22624695732883,-163.05384479263927,128.7257299275103,751.3934397656741,560.1056670803177,1.475677773190455,1.3406714551113983,2.046662043020831,2.253612507132166
HIST_1989,30.75302676007411,285.645629061265,285.6685411304722,285.6715057192037,285.6182787364537,1029.060667612804,1029.0597732362826,1029.0417235885304,1029.0499305697583,38.32750625687418,38.32916278891483,38.31929996170682,38.3189712759885,-7.1361029007361e-07,-2.0664952818547877e-06,1.1648192274883035e-06,4.713513033637225e-06,0.7857808298279008,0.2633492573438264,0.0220340666186838,0.3071960891229899,0.0013030011147826,0.0036362271884106,0.0023313361982273,-0.0011309813078971,0.0187114138312926,0.0163560123575547,0.029161667441671,0.0044162317425485,0.0028645084469197,0.0028265726580005,0.0017146229305622,0.0024253117420005,-0.0479431711507052,-0.0502695089404778,-0.048093986854211,-0.1142787964957224,286.94125744833303,287.71782977056597,295.3254934667619,290.8068198011582,-132.92326415208416,41.8524904506706,113.14190312425508,-119.45045348427888,84.10973968588438,204.0952284764217,263.4116408401342,119.11063580467408,2.784807447398039e-05,2.3668725239643945e-05,2.4444665501626427e-05,1.8946800917586712e-05,-37.345823127974754,-37.35278630503245,-37.29010430253174,-37.30138097856034,-0.0829127877282474,-0.1072033114647419,-0.0058289333242633,-0.0278441193284906,-0.1307521827321197,-0.1342191981772857,-0.0940433233046801,-0.1268671427045297,37.66712724956896,37.68498228413743,37.70474062167008,37.64984634097653,0.001049319406723,0.0008925661210503,0.000922866846975,0.00071531761036,67.36687560238526,33.91224768625387,8.475493485087052,30.07734170610061,-134.46346596803326,40.53958390528534,110.84234883122862,-120.72749946607956,-36.28588816359128,-36.28830989753404,-36.22536679346458,-36.24544804893933,631.2132118427725,661.0375077156805,696.0057250222087,679.1692080107288,1.646841515808823,1.5530346431765214,2.194466944628174,2.01515204591987
HIST_1990,33.48412384835502,285.5313404037731,285.52676393967954,285.57329853737275,285.58565157896174,1029.0736671973143,1029.07418255656,1029.0525236388348,1029.0470006860346,38.32351870036027,38.3238145484187,38.31813263200966,38.31621129655564,-1.6422034342932476e-07,1.253522244729327e-06,3.335442904826781e-07,5.623053264474972e-07,0.9895043419159104,0.1938079580269963,0.0212564325897552,0.2792425994273443,0.0002292601471918,-0.0011698572310117,0.0020636445706215,0.0017502826652935,0.0264625453364121,0.0844862325976526,0.0288652266732611,0.0386078590260251,0.002297612785115,0.001408994506434,0.002814104431932,0.0037834617366315,-0.0402802211015387,-0.0810268316216001,-0.0372343339029049,-0.0474404957983588,286.13584540216715,286.882790879308,294.64986647565013,292.54064978443864,-127.32406492034345,72.79318635169639,144.96751734904743,-99.27152190129944,77.36018339459683,221.3753323143479,275.98738974049456,132.02039572225985,2.351709910356577e-05,2.8690760441786385e-05,3.2479112206113086e-05,3.920637907959674e-05,-37.35970400157147,-37.359411396357295,-37.29380023749653,-37.280775995649975,-0.1121445006184324,-0.1234476534363398,-0.0213135233003962,0.0167930082669254,-0.1438140108962994,-0.1459439912591697,-0.1045199345513389,-0.0810537769628287,37.77995269370279,37.83670227270874,37.85528399956636,37.83518926008114,0.0008879203713065,0.001085889108878,0.0012299838624482,0.00148362689085,87.4655753107213,37.735887533084,9.27383204510934,28.06039082112385,-128.59063850925492,71.211659242349,142.0411492091638,-102.41418734103269,-36.313519376527694,-36.31514384585428,-36.24898883054236,-36.23337013152125,576.5328609951349,242.9564114280846,683.3504065395894,705.1238665100278,1.3123119194882713,1.270992459153879,1.976883525140804,2.146078157500345
HIST_1991,30.41492978051738,285.5152294072959,285.5984334335694,285.66882466617864,285.8704851940875,1029.0705738279976,1029.0704425196125,1029.0478099483548,1029.03355931864,38.321503070277366,38.33268077594014,38.32885701689327,38.347554763281806,2.186071297144254e-06,8.520022038407463e-07,3.794851973436014e-07,2.0506278221224096e-06,0.7290334269202355,0.2635251705856659,0.033275413554393,0.1911875479873163,-0.0024123427427637,-0.0007381446457896,0.0001479246473519,0.0018398727587367,0.0372564763691675,0.0665360436420905,0.0373046928517549,0.0189187256693998,0.0033519678462735,0.0023931540329685,0.0005217545082805,0.0032798279151198,-0.0403537882604068,-0.0577601779127283,-0.0512318299752387,-0.0193268835586039,286.81794204835194,287.11175561908306,294.2119596439925,293.41835692746423,-133.3006965367701,59.17930496498816,115.72126378059072,-49.06577349771569,70.71837991692051,206.33398280912644,267.20345281852855,125.0890524310823,6.60854107209319e-06,2.0947329410840417e-05,3.578466732833823e-05,2.018188462269786e-05,-37.34108071116522,-37.34408284383127,-37.27893946177251,-37.26016230425021,-0.0721118302535204,-0.094740308050828,-0.0104725693021481,0.0495359728339423,-0.1102069193389063,-0.1262902189906502,-0.1012372220909715,-0.0582413523707116,37.77160880690147,37.83340332140372,37.83297416268413,37.8249083718761,0.0002505306124769,0.0007928028492389,0.0013541522427307,0.0007645367513635,68.8570684337264,39.36722566419651,9.756895009843667,21.79287017157037,-133.59238517696397,57.99522072949619,112.65630057610451,-50.84338915398652,-36.30130998552924,-36.30798647749435,-36.24066067685101,-36.22116579192092,-44.83428495397522,-67.81192782276923,514.9706055452992,333.8322692793343,1.4467236380372803,1.3538255336350271,2.04356029147538,2.249376129046662
HIST_1992,32.94540243476157,285.82596036755183,285.7571129626297,285.7438411255557,285.75083297395963,1029.0524836788045,1029.061159692381,1029.045801697456,1029.041447373946,38.35344496048429,38.349688678299366,38.339084409171306,38.33608046079407,-2.8653694118915376e-06,1.7532863822686055e-06,-5.527661846189388e-07,7.156304402288393e-07,0.8500043365458833,0.357320534243502,0.0347194613401697,0.2638849238374252,0.0067966717853891,0.0020280966541373,0.0044845206748618,0.0061271154971702,0.1113880656754233,0.0635351829435751,0.0384408884071938,0.0345143497553432,0.005208191636023,0.0041074487370889,0.0023299844756578,0.0041842280594753,-0.0692302710040839,-0.0527965564838088,-0.0408586769206184,-0.030219508519195,287.1550016656328,287.018804041079,293.8738118240244,292.0585123835678,-147.57206256916456,33.16307338311429,120.93209788242888,-95.74293213885848,86.8239255344496,199.04232432723325,271.15577914142284,119.20893969368898,4.5904598386647e-05,2.143694361479999e-05,3.4265315785966005e-05,2.530950114330512e-05,-37.32218907720141,-37.33313077990413,-37.27251010065272,-37.26377275994405,-0.0531882411315242,-0.068831984069647,-0.0106528360024645,0.026804221406326,-0.0978159614632449,-0.1011306271459959,-0.1021263689829464,-0.0780707183255034,37.80923874334135,37.88738507625868,37.93681260374591,37.82393777610076,0.0017355911677452,0.0008123644806423,0.001300544640981,0.000957466563796,76.07180074261919,45.62292506096956,9.93612404053783,28.475280362348467,-150.21189895007194,31.9721064454978,118.01438628392695,-97.72227110579249,-36.28546023089201,-36.30059346913571,-36.24139740296079,-36.227295010113934,331.6808208028321,-33.32825250751578,583.2651488599918,289.41603169239795,1.5768542624777675,1.3821820674445884,2.0084180185092064,2.1736044310015585
HIST_1993,30.761204731747725,285.6850909963241,285.58278561355166,285.757968480464,285.7824812743868,1029.0653106000705,1029.070115671128,1029.0380866908483,1029.0323478626458,38.342840785923975,38.33269206951741,38.33433442481698,38.33190172571561,1.8473844351552613e-07,2.2644912221695186e-07,-8.865961420820429e-07,4.1342656874057833e-07,1.3179759966953957,0.2587244200151954,0.026966818832201,0.3689161428656574,0.0016405793933495,0.0011832366896966,0.0029323475723207,0.0002348826822525,0.1329675157882784,0.053133618858749,0.0266116510113037,0.0585524004131518,0.0028640293286642,0.0016279781432768,0.0034119504718691,0.0019022443020005,-0.0735889143149475,-0.0421354062477386,-0.0330016722465202,-0.053339853731192,286.50667876218546,287.5395333639555,295.10217945384466,292.32317151253574,-177.33884647282338,55.34619766391181,129.5482383081289,-117.52212561976282,82.61726640207785,209.27640604967107,277.9210359037581,125.10683602661764,3.8598858190665015e-05,2.003294732438401e-05,3.622772684408371e-05,4.226088848430836e-05,-37.330853779412834,-37.33122950088877,-37.259377559860255,-37.24917332209138,-0.0615251667445926,-0.0745991789668176,0.0215166547396974,0.0772459104688992,-0.1061604827220005,-0.1100702345880129,-0.0753883014086929,-0.0377989357351561,37.90283790920047,37.88450305957549,37.85068907219368,37.76770436805087,0.0014636064161967,0.0007589719308804,0.0013724859868291,0.0015968070306633,115.06795657963872,40.589757641774646,9.208785753904296,34.980363899364015,-179.41417167805636,54.14487949626644,126.19118361739098,-120.87966890546016,-36.30119092691998,-36.30363926772876,-36.21834098642745,-36.20043908554844,-205.24437671998396,375.495104973861,696.4882306799217,564.4599926902405,1.366248440009045,1.327512617640243,2.2229775685558044,2.4288593493620154
